model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
BERT;open;1NN;25;0.0003216013172789956;0.03216013172789956;0.03
BERT;open;5NN;100;0.0012864052691159823;0.12864052691159825;0.13
BERT;open;10NN;173;0.0022254811155706495;0.22254811155706494;0.22
BERT;source;1NN;150;0.0019296079036739734;0.19296079036739733;0.19
BERT;source;5NN;464;0.005968920448698158;0.5968920448698157;0.6
BERT;source;10NN;710;0.009133477410723474;0.9133477410723474;0.91
BERT;title;1NN;12095;0.15559071729957805;15.559071729957804;15.56
BERT;title;5NN;13618;0.17518266954821446;17.518266954821446;17.52
BERT;title;10NN;14443;0.18579551301842132;18.57955130184213;18.58
LASER;open;1NN;23309;0.2998482041782443;29.98482041782443;29.98
LASER;open;5NN;29997;0.3858829885767212;38.58829885767212;38.59
LASER;open;10NN;32894;0.4231501492230112;42.31501492230112;42.32
LASER;source;1NN;7956;0.10234640321086755;10.234640321086754;10.23
LASER;source;5NN;10619;0.13660337552742616;13.660337552742616;13.66
LASER;source;10NN;11800;0.1517958217556859;15.17958217556859;15.18
LASER;title;1NN;35826;0.4608675517134918;46.08675517134918;46.09
LASER;title;5NN;41732;0.5368426469074817;53.68426469074817;53.68
LASER;title;10NN;43539;0.5600879901204076;56.008799012040754;56.01
XLM-RoBERTa;open;1NN;24;0.00030873726458783575;0.030873726458783574;0.03
XLM-RoBERTa;open;5NN;129;0.0016594627971596172;0.1659462797159617;0.17
XLM-RoBERTa;open;10NN;226;0.00290727590820212;0.290727590820212;0.29
XLM-RoBERTa;source;1NN;1229;0.01580992075743542;1.580992075743542;1.58
XLM-RoBERTa;source;5NN;2847;0.036623958011732016;3.6623958011732016;3.66
XLM-RoBERTa;source;10NN;3949;0.05080014407739014;5.080014407739014;5.08
XLM-RoBERTa;title;1NN;11403;0.14668879283729547;14.668879283729547;14.67
XLM-RoBERTa;title;5NN;12996;0.16718122877431307;16.718122877431306;16.72
XLM-RoBERTa;title;10NN;13744;0.1768035401873006;17.68035401873006;17.68
